name_uz,branch_name_uz,work_domain,name_uz_cyrl,name_ru
Yurist,Yuridik bo‘lim,natural_gas,,
Bo‘lim boshlig‘i ,Kadrlarni boshqarish bo‘limi,natural_gas,,
Yetakchi mutaxassis,Kadrlarni boshqarish bo‘limi,natural_gas,,
Bo‘lim boshlig‘i ,Moddiy resurslardan oqilona foydalanish va korrupsiyaga qarshi siyosatni amalga oshirish bo‘limi,natural_gas,,
Yetakchi mutaxassis,Moddiy resurslardan oqilona foydalanish va korrupsiyaga qarshi siyosatni amalga oshirish bo‘limi,natural_gas,,
Bo‘lim boshlig‘i ,Iqtisodiy tahlil bo‘limi,natural_gas,,
Yetakchi iqtisodchi,Iqtisodiy tahlil bo‘limi,natural_gas,,
Yetakchi hisobchi,Buxgalteriya hisobi bo‘limi,natural_gas,,
Hisobchi,Buxgalteriya hisobi bo‘limi,natural_gas,,
Yetakchi muhandis,Aloqa va AKT xizmati,natural_gas,,
Texnik,Aloqa va AKT xizmati,natural_gas,,
Maxsus ishlar bo‘yicha yetakchi mutaxassis,Aloqa va AKT xizmati,natural_gas,,
Ombor mudiri,Zaxira omborxonasi,natural_gas,,
Bo‘lim boshlig‘i ,Xo‘jalik boshqaruvi bo‘limi,natural_gas,,
Qorovul,Xo‘jalik boshqaruvi bo‘limi,natural_gas,,
Boshliq,“Shahar/tumangaz” gaz ta’minoti bo‘limi,natural_gas,,
Bosh muhandis,“Shahar/tumangaz” gaz ta’minoti bo‘limi,natural_gas,,
Xizmat boshlig‘i ,Gaz ta’minoti ob’ektlarini texnik tiklash va ishlatish xizmati,natural_gas,,
Usta,Gaz ta’minoti ob’ektlarini texnik tiklash va ishlatish xizmati,natural_gas,,
Tarmoqlarga xizmat ko‘rsatish chilangari,Gaz ta’minoti ob’ektlarini texnik tiklash va ishlatish xizmati,natural_gas,,
Elektrgazpayvandchi,Gaz ta’minoti ob’ektlarini texnik tiklash va ishlatish xizmati,natural_gas,,
Yetakchi muhandis ,Mehnat muhofazasi va texnika xavfsizligi bo‘limi,natural_gas,,
Dispetcher,Avariya dispetcherlik xizmati ,natural_gas,,
Avariya tiklash ishlari bo‘yicha navbatchi chilangar,Avariya dispetcherlik xizmati ,natural_gas,,
Haydovchi (navbatchi),Avariya dispetcherlik xizmati ,natural_gas,,
Yetakchi mutaxassis,Nazorat va murojaatlar bo‘limi,natural_gas,,
Hisob bo‘yicha texnik,Nazorat va murojaatlar bo‘limi,natural_gas,,
Qorovul,Nazorat va murojaatlar bo‘limi,natural_gas,,
Xizmat boshlig‘i ,Mahallabay ishlash xizmati,natural_gas,,
Yetakchi muhandis ,Mahallabay ishlash xizmati,natural_gas,,
Operator,Mahallabay ishlash xizmati,natural_gas,,
Mahalla gazchisi,Yirik hudud,natural_gas,,
Bo‘lim boshlig‘i,"Kichik, o‘rta biznes va byudjet iste’molchilari bilan ishlash bo‘limi",natural_gas,,
Yetakchi muhandis,"Kichik, o‘rta biznes va byudjet iste’molchilari bilan ishlash bo‘limi",natural_gas,,
Bo‘lim boshlig‘i,Metrologik ta’minot bo‘limi,natural_gas,,
Muhandis-metrolog,Metrologik ta’minot bo‘limi,natural_gas,,
Suyultirilgan gaz ta’minoti bo‘yicha direktor o‘rinbosari  ,Ijro apparati,lpg_gas,,
Bo‘lim boshlig‘i,Mahalla iste’molchilarini suyultirilgan gaz bilan ta’minlash bo‘limi,lpg_gas,,
Yetakchi muhandis,Mahalla iste’molchilarini suyultirilgan gaz bilan ta’minlash bo‘limi,lpg_gas,,
Yetakchi muhandis (murojaatlar bo‘yija) ,Mahalla iste’molchilarini suyultirilgan gaz bilan ta’minlash bo‘limi,lpg_gas,,
1-toifali muhandis,Mahalla iste’molchilarini suyultirilgan gaz bilan ta’minlash bo‘limi,lpg_gas,,
Operator,Mahalla iste’molchilarini suyultirilgan gaz bilan ta’minlash bo‘limi,lpg_gas,,
Bo‘lim boshlig‘i,Suyultirilgan gaz inshootlarini ishlatish bo‘limi,lpg_gas,,
Yetakchi muhandis,Suyultirilgan gaz inshootlarini ishlatish bo‘limi,lpg_gas,,
1-toifali muhandis,Suyultirilgan gaz inshootlarini ishlatish bo‘limi,lpg_gas,,
Suyultirilgan gaz bo‘yicha xizmat boshlig‘i  ,Suyultirilgan gaz ta’minoti bo‘yicha tuman (shahar) bo‘limlari ,lpg_gas,,
Chilangar (servis markazining),Suyultirilgan gaz ta’minoti bo‘yicha tuman (shahar) bo‘limlari ,lpg_gas,,
Haydovchi,Suyultirilgan gaz ta’minoti bo‘yicha tuman (shahar) bo‘limlari ,lpg_gas,,
Chilangar-ta’minotchi,Suyultirilgan gaz ta’minoti bo‘yicha tuman (shahar) bo‘limlari ,lpg_gas,,
Ta’mirlovchi chilangar,Maishiy gaz ballonlarni ta’mirlash va sinovdan o‘tkazish bo‘yicha sex (Chiroqchi GTSh),lpg_gas,,
Sinovchi chilangar,Maishiy gaz ballonlarni ta’mirlash va sinovdan o‘tkazish bo‘yicha sex (Chiroqchi GTSh),lpg_gas,,
Ta’mirlovchi chilangar,Maishiy gaz ballonlarni ta’mirlash va sinovdan o‘tkazish bo‘yicha sex (Chiroqchi GTSh),lpg_gas,,
Sinovchi chilangar,Maishiy gaz ballonlarni ta’mirlash va sinovdan o‘tkazish bo‘yicha sex (Chiroqchi GTSh),lpg_gas,,
Qorovul,Maishiy gaz ballonlarni ta’mirlash va sinovdan o‘tkazish bo‘yicha sex (Chiroqchi GTSh),lpg_gas,,
Ta’mirlovchi chilangar,Maishiy gaz ballonlarni ta’mirlash va sinovdan o‘tkazish bo‘yicha sex (Kasbi GTSh),lpg_gas,,
Sinovchi chilangar,Maishiy gaz ballonlarni ta’mirlash va sinovdan o‘tkazish bo‘yicha sex (Kasbi GTSh),lpg_gas,,
Ta’mirlovchi chilangar,Maishiy gaz ballonlarni ta’mirlash va sinovdan o‘tkazish bo‘yicha sex (Dehqonobod GTSh),lpg_gas,,
Sinovchi chilangar,Maishiy gaz ballonlarni ta’mirlash va sinovdan o‘tkazish bo‘yicha sex (Dehqonobod GTSh),lpg_gas,,
Qorovul,Maishiy gaz ballonlarni ta’mirlash va sinovdan o‘tkazish bo‘yicha sex (Dehqonobod GTSh),lpg_gas,,
Boshliq,Gaz to‘ldirish shahobchalari,lpg_gas,,
Muhandis (sanoat xavfsizligi bo‘yicha),Gaz to‘ldirish shahobchalari,lpg_gas,,
Hisobchi-texnik,Gaz to‘ldirish shahobchalari,lpg_gas,,
"Quyuvchi-to‘kuvchi, kompressorchi",Gaz to‘ldirish shahobchalari,lpg_gas,,
Ballon to‘ldiruvchi ,Gaz to‘ldirish shahobchalari,lpg_gas,,
"Chilangar (gaz ballon qabul qiluvchi, og‘ir qoldiq to‘kuvchi)",Gaz to‘ldirish shahobchalari,lpg_gas,,
Qorovul,Gaz to‘ldirish shahobchalari,lpg_gas,,
